Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,34.91999816894531,35.400001525878906,34.099998474121094,35.119998931884766,22.89527702331543,13767900
2013-01-03,35.0,35.0,34.15999984741211,34.83000183105469,22.706228256225586,16739300
2013-01-04,34.619998931884766,34.88999938964844,34.25,34.38999938964844,22.41938591003418,21372100
2013-01-07,34.150001525878906,35.45000076293945,34.150001525878906,34.459999084472656,22.465017318725586,17897100
2013-01-08,34.290000915527344,34.63999938964844,33.36000061035156,33.709999084472656,21.976083755493164,17863300
2013-01-09,33.61000061035156,33.95000076293945,33.61000061035156,33.900001525878906,22.09994125366211,18800400
2013-01-10,33.65999984741211,34.0,33.33000183105469,34.0,22.16514015197754,15658100
2013-01-11,33.59000015258789,33.900001525878906,33.349998474121094,33.849998474121094,22.330060958862305,11191500
2013-01-14,34.0099983215332,34.25,33.79999923706055,34.09000015258789,22.48838233947754,11584900
2013-01-15,33.709999084472656,34.720001220703125,33.709999084472656,34.599998474121094,22.824811935424805,13040200
2013-01-16,34.470001220703125,35.540000915527344,34.45000076293945,35.540000915527344,23.444913864135742,16512700
2013-01-17,35.75,36.70000076293945,35.75,36.41999816894531,24.025426864624023,14424800
2013-01-18,36.43000030517578,37.31999969482422,36.040000915527344,37.31999969482422,24.619131088256836,17842200
2013-01-22,36.97999954223633,37.25,35.93000030517578,36.41999816894531,24.025426864624023,15809700
2013-01-23,36.90999984741211,37.84000015258789,36.5,37.79999923706055,24.9357852935791,10981600
2013-01-24,37.790000915527344,38.52000045776367,37.22999954223633,37.459999084472656,24.71149253845215,11327100
2013-01-25,37.52000045776367,37.84000015258789,36.63999938964844,37.599998474121094,24.803836822509766,8934600
2013-01-28,37.650001525878906,37.869998931884766,36.709999084472656,36.88999938964844,24.33547019958496,7140100
2013-01-29,36.709999084472656,37.459999084472656,36.25,37.310001373291016,24.612539291381836,8838500
2013-01-30,36.810001373291016,37.529998779296875,36.810001373291016,36.93000030517578,24.361862182617188,10841800
2013-01-31,36.84000015258789,36.93000030517578,36.27000045776367,36.689998626708984,24.203533172607422,10720700
2013-02-01,36.84000015258789,37.20000076293945,36.52000045776367,37.18000030517578,24.526779174804688,9527500
2013-02-04,36.63999938964844,37.29999923706055,36.54999923706055,37.279998779296875,24.592744827270508,6348000
2013-02-05,37.41999816894531,37.72999954223633,37.18000030517578,37.20000076293945,24.53997039794922,7284400
2013-02-06,36.959999084472656,37.279998779296875,36.86000061035156,37.13999938964844,24.50039291381836,5738900
2013-02-07,37.56999969482422,37.56999969482422,35.79999923706055,36.41999816894531,24.025426864624023,9872500
2013-02-08,36.369998931884766,36.41999816894531,35.83000183105469,36.25,23.913284301757812,13858700
2013-02-11,36.130001068115234,36.18000030517578,35.75,35.849998474121094,23.649410247802734,6032100
2013-02-12,35.77000045776367,35.900001525878906,35.20000076293945,35.41999816894531,23.36574363708496,7473800
2013-02-13,35.41999816894531,35.56999969482422,35.150001525878906,35.27000045776367,23.266796112060547,4859800
2013-02-14,35.04999923706055,36.72999954223633,35.0099983215332,36.56999969482422,24.1243839263916,7570100
2013-02-15,36.93000030517578,37.810001373291016,36.93000030517578,37.58000183105469,24.7906436920166,13296300
2013-02-19,37.540000915527344,38.33000183105469,37.11000061035156,38.189998626708984,25.193050384521484,8292700
2013-02-20,38.15999984741211,39.130001068115234,37.61000061035156,38.61000061035156,25.470121383666992,8096400
2013-02-21,38.4900016784668,39.029998779296875,38.189998626708984,38.779998779296875,25.582258224487305,7260900
2013-02-22,38.790000915527344,38.849998474121094,38.13999938964844,38.459999084472656,25.371170043945312,4490400
2013-02-25,38.540000915527344,38.61000061035156,37.369998931884766,37.369998931884766,24.652118682861328,4665600
2013-02-26,37.599998474121094,37.599998474121094,36.959999084472656,37.09000015258789,24.467405319213867,4463000
